DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
15-Oct-2025,EQ,"2,202.90","2,237.50","2,202.90","2,202.40","2,231.00","2,227.10","2,226.56","3,700.00","2,151.00",235033,"52,33,15,152.70",19074
14-Oct-2025,EQ,"2,224.20","2,225.00","2,195.10","2,221.20","2,198.00","2,202.40","2,207.70","3,700.00","2,151.00",350132,"77,29,84,711.10",21337
13-Oct-2025,EQ,"2,220.00","2,232.00","2,202.10","2,227.80","2,220.60","2,221.20","2,215.66","3,700.00","2,151.00",315128,"69,82,16,806.00",15263
10-Oct-2025,EQ,"2,209.00","2,232.90","2,202.10","2,208.60","2,231.80","2,227.80","2,219.79","3,774.95","2,151.00",334097,"74,16,24,552.50",16759
09-Oct-2025,EQ,"2,211.00","2,219.30","2,201.00","2,217.60","2,208.70","2,208.60","2,208.42","3,774.95","2,151.00",406979,"89,87,80,174.60",21287
08-Oct-2025,EQ,"2,220.00","2,229.80","2,201.00","2,231.40","2,216.60","2,217.60","2,211.00","3,774.95","2,151.00",629452,"1,39,17,20,457.90",19718
07-Oct-2025,EQ,"2,235.00","2,242.40","2,224.30","2,228.80","2,235.00","2,231.40","2,231.26","3,774.95","2,151.00",296066,"66,06,00,796.20",18547
06-Oct-2025,EQ,"2,218.50","2,242.50","2,211.10","2,213.90","2,232.30","2,228.80","2,223.26","3,774.95","2,151.00",439536,"97,72,02,591.40",26122
03-Oct-2025,EQ,"2,228.80","2,229.00","2,191.60","2,224.90","2,214.50","2,213.90","2,203.91","3,890.00","2,151.00",941401,"2,07,47,63,205.00",46523
01-Oct-2025,EQ,"2,224.90","2,234.30","2,207.30","2,222.40","2,228.80","2,224.90","2,218.28","3,890.00","2,151.00",492344,"1,09,21,56,869.60",28920
30-Sep-2025,EQ,"2,235.00","2,236.70","2,201.50","2,218.40","2,230.00","2,222.40","2,217.92","3,890.00","2,151.00",484173,"1,07,38,57,902.40",34561
29-Sep-2025,EQ,"2,226.00","2,239.50","2,209.00","2,224.30","2,225.00","2,218.40","2,220.87","3,890.00","2,151.00",439155,"97,53,05,159.50",34628
